passage_id,label,annotator_notes,labeled_at
2e6e390694,not_distress,,2026-09-19T18:36:49.609492+00:00
dfdc8b332f,not_distress,,2026-09-19T18:37:07.267770+00:00
fb77a3b47d,not_distress,,2026-09-19T18:37:22.782170+00:00
35d1157959,not_distress,,2026-09-19T18:37:49.995650+00:00
0f471f0695,distress,,2026-09-19T18:38:05.423718+00:00
ac9439be42,not_distress,,2026-09-19T18:38:13.494224+00:00
9e7fbe4d65,uncertain,,2026-09-19T18:38:26.498442+00:00
0854c269dd,distress,,2026-09-19T18:38:39.587155+00:00
11beb67afc,uncertain,,2026-09-19T18:38:51.443610+00:00
d4bfc010b6,distress,,2026-09-19T18:38:58.811844+00:00
9f39050be9,distress,,2026-09-19T18:39:03.139914+00:00
aa70385d4d,distress,,2026-09-19T18:39:09.352418+00:00
ef509d9d24,distress,,2026-09-19T18:40:20.660096+00:00
9035a16e2a,distress,,2026-09-19T18:40:27.482768+00:00
fcf8557323,distress,,2026-09-19T18:40:44.215234+00:00
8d65481926,not_distress,,2026-09-19T18:40:53.115639+00:00
3a3ee6feb6,not_distress,,2026-09-19T18:41:03.615950+00:00
7fbabd90a2,not_distress,,2026-09-19T18:41:14.280874+00:00
075ea64bcb,not_distress,,2026-09-19T18:42:14.460038+00:00
